f,s,d,N,pi_s,K,theta,w_p,w_e,v
5,7,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,8,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,9,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,10,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
6,1,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,2,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,3,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,4,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,5,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,6,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,7,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,8,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,9,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
6,10,9,10000,1.0,1,0.0916383163915581,0.3399810934124472,0.7733461991675957,[1.]
7,1,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,2,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,3,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,4,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,5,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,6,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,7,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,8,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,9,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
7,10,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
8,1,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,2,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,3,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,4,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,5,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,6,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,7,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,8,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,9,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
8,10,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995011,[0.81949659 0.18050341]
9,1,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,2,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,3,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,4,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,5,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,6,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,7,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,8,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,9,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
9,10,9,10000,1.0,2,0.9707291471501583,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
10,1,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,2,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,3,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,4,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,5,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,6,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,7,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,8,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,9,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
10,10,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
11,1,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,2,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,3,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,4,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,5,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,6,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,7,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,8,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,9,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
11,10,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
12,1,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,2,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,3,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,4,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,5,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,6,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,7,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,8,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,9,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
12,10,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
13,1,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,2,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,3,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,4,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,5,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,6,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,7,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,8,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,9,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
13,10,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
14,1,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,2,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,3,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,4,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,5,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,6,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,7,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,8,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,9,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
14,10,9,10000,1.2,4,0.9388071857867476,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
15,1,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,2,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,3,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,4,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,5,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,6,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,7,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,8,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,9,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
15,10,9,10000,1.2,2,0.1383253446085272,0.9676678157376284,0.927453894401993,[0.41008285 0.58991715]
16,1,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,2,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,3,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,4,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,5,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,6,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,7,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,8,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,9,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
16,10,9,10000,1.2,1,0.4614713307908666,0.5880271272234955,0.8743614804196247,[1.]
17,1,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,2,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,3,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,4,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,5,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,6,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,7,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,8,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,9,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
17,10,9,10000,1.2,4,0.9292087521488556,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
18,1,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,2,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,3,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,4,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,5,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,6,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,7,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,8,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,9,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
18,10,9,10000,1.2,2,0.3137092481352067,0.2970855983317751,0.8859974365322671,[0.11905643 0.88094357]
19,1,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,2,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,3,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,4,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,5,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,6,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,7,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,8,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,9,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
19,10,9,10000,1.2,2,0.8647119650204942,0.427236222740556,0.9443806599444154,[0.63753391 0.36246609]
20,1,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,2,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,3,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,4,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,5,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,6,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,7,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,8,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,9,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
20,10,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
21,1,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,2,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,3,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,4,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,5,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,6,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,7,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,8,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,9,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
21,10,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.909104660952286,[0.15671635 0.84328365]
22,1,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,2,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,3,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,4,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,5,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,6,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,7,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,8,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,9,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
22,10,9,10000,1.4,6,0.4562843574831799,0.0721277713416685,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
23,1,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,2,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,3,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,4,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,5,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,6,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,7,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,8,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,9,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
23,10,9,10000,1.4,4,0.1358707539759549,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
24,1,9,10000,1.4,1,0.1578444450048203,0.0391492631443868,0.9461270922517988,[1.]
24,2,9,10000,1.4,1,0.1578444450048203,0.0391492631443868,0.9461270922517988,[1.]
24,3,9,10000,1.4,1,0.1578444450048203,0.0391492631443868,0.9461270922517988,[1.]
